TOPIC,TOPIC,Popularity,Overall sentiment,Positive ratio,Average sentiment
British Politics,British Politics,169,0,0.6,0.11781242603550292
#weddinghour,#weddinghour,2,0,0,0.0
Sports,Sports,7,0,0,0.0
#GERENG,#GERENG,8,0,0,0.2704375
Television,Television,9,0,0,-0.07552222222222221
#diysos,#diysos,2,0,0,0.85275
Abu Izzadeen,Abu Izzadeen,1,0,0,0.0
Canada,Canada,7,0,0,0.3024
Trump,Trump,31,0,0.0,-0.12511612903225808
#Westminster,#Westminster,55,0,0.0,0.01407636363636363
#NolanLIVE,#NolanLIVE,8,0,0,0.1849
NHS,NHS,6,0,0,0.23198333333333332
Technology,Technology,6,0,0,0.26063333333333333
PC Keith Palmer,PC Keith Palmer,32,0,0,0.2764
