TOPIC,TOPIC,Popularity,Overall sentiment,Positive ratio,Average sentiment
Death Note,Death Note,8,0,1.0,-0.37826250000000006
Kay Burley,Kay Burley,8,0,0,0.07743749999999999
Police Officer,Police Officer,4,0,0,0.334125
House of Commons,House of Commons,7,0,0,-0.38610000000000005
Television,Television,4,0,0,-0.05482500000000001
Events,Events,0,0,0,0
French Election,French Election,6,0,0,0.0
Brussels,Brussels,17,0,0.0,-0.5537647058823529
#wtm17,#wtm17,2,0,0,0.21075
#Westminster,#Westminster,775,0,0.1746031746031746,-0.18396851612903212
Tommy Robinson,Tommy Robinson,23,0,0,-0.1424391304347826
Russia,Russia,3,0,0,-0.10583333333333333
Technology,Technology,19,0,1.0,0.25827894736842105
British Politics,British Politics,357,0,0.6666666666666666,0.08832605042016806
#famouslyworking,#famouslyworking,6,0,0,0.0
Sports,Sports,7,0,0,0.6199
#GERENG,#GERENG,2,0,0,0.71265
NHS,NHS,4,0,0,0.504275
#PrayForTheWorld,#PrayForTheWorld,2,0,0,0.3517
#WeAreNotAfraid,#WeAreNotAfraid,94,0,0.25,-0.051908510638297864
Abu Izzadeen,Abu Izzadeen,9,0,0,-0.4976666666666666
Trump,Trump,39,0,0.0,-0.24452307692307693
Tobias Ellwood,Tobias Ellwood,16,0,0.0,0.1068
Celebrities,Celebrities,3,0,0,-0.12726666666666667
Big Ben,Big Ben,3,0,0,0.0
