TOPIC,TOPIC,Popularity,Overall sentiment,Positive ratio,Average sentiment
Channel 4 News,Channel 4 News,5,0,0,-0.06486
Joe Hart,Joe Hart,3,0,0,0.07543333333333334
#PrayForTheWorld,#PrayForTheWorld,3,0,0,-0.025733333333333334
Fraser Aird,Fraser Aird,12,0,0,-0.06805
Television,Television,5,0,0,0.11116
Muslims,Muslims,1,0,0,-0.5106
#Westminster,#Westminster,332,0,0.3125,-0.09167771084337348
Tommy Robinson,Tommy Robinson,7,0,0,0.2522142857142857
Russia,Russia,1,0,0,-0.5423
Technology,Technology,16,0,0,0.05076874999999999
British Politics,British Politics,275,0,0.7,0.1691112727272727
Lallana,Lallana,5,0,0,0.2955
French Election,French Election,1,0,0,0.0
Sports,Sports,3,0,0,-0.012933333333333333
#GERENG,#GERENG,321,0,0.5,0.10798006230529596
#wmmayor,#wmmayor,2,0,0,0.1909
#WeAreNotAfraid,#WeAreNotAfraid,15,0,0,0.08304
Abu Izzadeen,Abu Izzadeen,9,0,0.0,-0.49134444444444436
#selfieforseb,#selfieforseb,11,0,1.0,0.11224545454545455
Dele Alli,Dele Alli,1,0,0,0.296
Trump,Trump,42,0,1.0,-0.13553095238095236
NHS,NHS,1,0,0,0.3818
Podolski,Podolski,7,0,0,0.05425714285714287
#hiddenrestaurants,#hiddenrestaurants,17,0,0,0.37685882352941175
