TOPIC,TOPIC,Popularity,Overall sentiment,Positive ratio,Average sentiment
Joe Hart,Joe Hart,23,0,1.0,0.32796521739130435
#weddinghour,#weddinghour,27,0,1.0,0.27472222222222226
Television,Television,14,0,0,0.2507642857142857
Events,Events,1,0,0,0.0
French Election,French Election,2,0,0,0.0
#SCOCAN,#SCOCAN,5,0,0.0,0.09456
#Westminster,#Westminster,255,0,0.2857142857142857,-0.10688862745098039
Tommy Robinson,Tommy Robinson,3,0,0,-0.45553333333333335
Russia,Russia,2,0,0,0.0
Technology,Technology,9,0,0,0.06588888888888889
British Politics,British Politics,314,0,0.6666666666666666,0.11982006369426751
Lallana,Lallana,36,0,0,0.20199722222222216
Sports,Sports,16,0,0,0.22814375
#GERENG,#GERENG,457,0,0.8125,0.10143807439824953
Glenn Hoddle,Glenn Hoddle,3,0,0,0.15796666666666667
#WeAreNotAfraid,#WeAreNotAfraid,8,0,0,0.43366250000000006
Channel 4 News,Channel 4 News,3,0,0,0.16366666666666665
Dele Alli,Dele Alli,12,0,0,0.18774166666666667
Trump,Trump,29,0,0,-0.1561103448275862
NHS,NHS,1,0,0,0.1779
Podolski,Podolski,403,0,0.82,0.09986302729528537
Abu Izzadeen,Abu Izzadeen,4,0,0.0,0.08087500000000003
