TOPIC,TOPIC,Popularity,Overall sentiment,Positive ratio,Average sentiment
British Politics,British Politics,242,0,0.6666666666666666,0.07698966942148766
Channel 4 News,Channel 4 News,4,0,0,-0.16670000000000001
#weddinghour,#weddinghour,6,0,1.0,0.3468166666666667
Sports,Sports,8,0,0,0.30545
#GERENG,#GERENG,20,0,1.0,0.13089500000000004
Television,Television,100,0,0.3333333333333333,0.011662000000000004
Glenn Hoddle,Glenn Hoddle,2,0,1.0,0.60375
#diysos,#diysos,5,0,1.0,0.49917999999999996
#WeAreNotAfraid,#WeAreNotAfraid,5,0,1.0,-0.04918
#SCOCAN,#SCOCAN,3,0,0,-0.08259999999999999
Canada,Canada,15,0,0,0.08668000000000001
Trump,Trump,37,0,0.0,-0.17730540540540538
#Westminster,#Westminster,327,0,0.22727272727272727,-0.05644892966360852
Tommy Robinson,Tommy Robinson,2,0,0,0.35459999999999997
Russia,Russia,1,0,0,0.0
NHS,NHS,4,0,1.0,0.382675
Technology,Technology,5,0,0,0.18262
Abu Izzadeen,Abu Izzadeen,4,0,0.0,-0.3244
